candidate_id,beam_id,annotation_text,field,deterministic_value,vision_value,field_status,field_decision,accepted,reason,hypothetical_change,production_change
VC::B100::ANN-29f62939,B100,3L-Y10@100C/C,semantic_type,STIRRUP,STIRRUP,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100::ANN-29f62939,B100,3L-Y10@100C/C,reinforcement_role,STIRRUP,STIRRUP,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100::ANN-29f62939,B100,3L-Y10@100C/C,diameter,10.0,10,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100::ANN-29f62939,B100,3L-Y10@100C/C,quantity,,,NOT_APPLICABLE,NOT_APPLICABLE,False,STIRRUP_QUANTITY_NOT_DERIVABLE_FROM_NOTATION,False,NONE
VC::B100::ANN-29f62939,B100,3L-Y10@100C/C,legs,3,3,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100::ANN-29f62939,B100,3L-Y10@100C/C,spacing,[100.0],[100],BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100::ANN-29f62939,B100,3L-Y10@100C/C,beam_association,TARGET_BEAM,TARGET_BEAM,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100::ANN-29f62939,B100,3L-Y10@100C/C,zone,,SPAN,VISION_DIAGNOSTIC,ZONE_DIAGNOSTIC_ONLY,False,ZONE_NOT_PROMOTABLE,False,NONE
VC::B100::ANN-655eb304,B100,3-Y20,semantic_type,LONGITUDINAL_BAR,LONGITUDINAL_BAR,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100::ANN-655eb304,B100,3-Y20,reinforcement_role,UNKNOWN,BOTTOM_BAR,VISION_FIELD_CANDIDATE,ACCEPT_AS_SHADOW_CANDIDATE,True,DETERMINISTIC_UNKNOWN_VISION_VALID,True,NONE
VC::B100::ANN-655eb304,B100,3-Y20,diameter,20.0,20,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100::ANN-655eb304,B100,3-Y20,quantity,3,3,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100::ANN-655eb304,B100,3-Y20,legs,,,NOT_APPLICABLE,NOT_APPLICABLE,False,LEGS_NOT_APPLICABLE_FOR_LONGITUDINAL,False,NONE
VC::B100::ANN-655eb304,B100,3-Y20,spacing,[],[],UNRESOLVED,UNRESOLVED,False,BOTH_MISSING,False,NONE
VC::B100::ANN-655eb304,B100,3-Y20,beam_association,TARGET_BEAM,TARGET_BEAM,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100::ANN-655eb304,B100,3-Y20,zone,,SPAN,VISION_DIAGNOSTIC,ZONE_DIAGNOSTIC_ONLY,False,ZONE_NOT_PROMOTABLE,False,NONE
VC::B100A::ANN-13582c44,B100A,4L-Y10@100/150/100C/C,semantic_type,STIRRUP,STIRRUP,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100A::ANN-13582c44,B100A,4L-Y10@100/150/100C/C,reinforcement_role,STIRRUP,STIRRUP,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100A::ANN-13582c44,B100A,4L-Y10@100/150/100C/C,diameter,10.0,10,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100A::ANN-13582c44,B100A,4L-Y10@100/150/100C/C,quantity,,,NOT_APPLICABLE,NOT_APPLICABLE,False,STIRRUP_QUANTITY_NOT_DERIVABLE_FROM_NOTATION,False,NONE
VC::B100A::ANN-13582c44,B100A,4L-Y10@100/150/100C/C,legs,4,4,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100A::ANN-13582c44,B100A,4L-Y10@100/150/100C/C,spacing,"[100.0, 150.0, 100.0]","[100, 150, 100]",BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100A::ANN-13582c44,B100A,4L-Y10@100/150/100C/C,beam_association,TARGET_BEAM,TARGET_BEAM,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B100A::ANN-13582c44,B100A,4L-Y10@100/150/100C/C,zone,,SPAN,VISION_DIAGNOSTIC,ZONE_DIAGNOSTIC_ONLY,False,ZONE_NOT_PROMOTABLE,False,NONE
VC::B101::ANN-80ac063f,B101,3-Y20,semantic_type,LONGITUDINAL_BAR,LONGITUDINAL_BAR,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B101::ANN-80ac063f,B101,3-Y20,reinforcement_role,UNKNOWN,BOTTOM_BAR,VISION_FIELD_CANDIDATE,ACCEPT_AS_SHADOW_CANDIDATE,True,DETERMINISTIC_UNKNOWN_VISION_VALID,True,NONE
VC::B101::ANN-80ac063f,B101,3-Y20,diameter,20.0,20,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B101::ANN-80ac063f,B101,3-Y20,quantity,3,3,BOTH_AGREE,KEEP_DETERMINISTIC,False,EQUIVALENT_VALUES,False,NONE
VC::B101::ANN-80ac063f,B101,3-Y20,legs,,,NOT_APPLICABLE,NOT_APPLICABLE,False,LEGS_NOT_APPLICABLE_FOR_LONGITUDINAL,False,NONE
VC::B101::ANN-80ac063f,B101,3-Y20,spacing,[],[],UNRESOLVED,UNRESOLVED,False,BOTH_MISSING,False,NONE
